TranscriptID	GeneID	TranscriptCategory	GeneSymbol
XM_049852564.1	LOC126057144	mRNA	LOC126057144
XM_049852565.1	LOC126057144	mRNA	LOC126057144
XM_049852566.1	LOC126057144	mRNA	LOC126057144
XM_049852567.1	LOC126057144	mRNA	LOC126057144
XM_049852568.1	LOC126057144	mRNA	LOC126057144
XM_049852569.1	LOC126057144	mRNA	LOC126057144
XM_049852570.1	LOC126057144	mRNA	LOC126057144
XM_049852571.1	LOC126057145	mRNA	PDCD2
XM_049852572.1	LOC126057144	mRNA	LOC126057144
XM_049852573.1	LOC126057144	mRNA	LOC126057144
XM_049852574.1	LOC126057146	mRNA	SLC28A1
XM_049852575.1	LOC126057146	mRNA	SLC28A1
XM_049852576.1	LOC126057146	mRNA	SLC28A1
XM_049852577.1	LOC126057146	mRNA	SLC28A1
XM_049852578.1	LOC126057147	mRNA	MESP2
XM_049852579.1	LOC126057150	mRNA	ULK3
XM_049852580.1	LOC126057150	mRNA	ULK3
XM_049852581.1	LOC126057151	mRNA	SH3GL3
XM_049852582.1	LOC126057152	mRNA	HAPLN3
XM_049852583.1	LOC126057149	mRNA	TBP
XM_049852584.1	LOC126057153	mRNA	LYSMD4
XM_049852585.1	LOC126057153	mRNA	LYSMD4
XM_049852586.1	LOC126057153	mRNA	LYSMD4
XM_049852587.1	LOC126057153	mRNA	LYSMD4
XM_049852588.1	LOC126088026	mRNA	PRKN
XM_049852589.1	LOC126057154	mRNA	RASGRF1
XM_049852590.1	LOC126057156	mRNA	PIF1
XM_049852591.1	LOC126057156	mRNA	PIF1
XM_049852592.1	LOC126057149	mRNA	TBP
XM_049852593.1	LOC126057158	mRNA	NR2F2
XM_049852594.1	LOC126057158	mRNA	NR2F2
XM_049852595.1	LOC126057161	mRNA	AQP9
XM_049852596.1	LOC126057161	mRNA	AQP9
XM_049852597.1	LOC126057161	mRNA	AQP9
XM_049852598.1	LOC126057161	mRNA	AQP9
XM_049852599.1	LOC126057161	mRNA	AQP9
XM_049852600.1	LOC126057161	mRNA	AQP9
XM_049852601.1	LOC126057163	mRNA	UBAP1L
XM_049852602.1	LOC126057164	mRNA	ISLR2
XM_049852603.1	LOC126057164	mRNA	ISLR2
XM_049852604.1	LOC126057165	mRNA	CILP
XM_049852605.1	LOC126057165	mRNA	CILP
XM_049852606.1	LOC126057165	mRNA	CILP
XM_049852607.1	LOC126057165	mRNA	CILP
XM_049852608.1	LOC126057166	mRNA	LOC126057166
XM_049852609.1	LOC126057167	mRNA	CYFIP1
XM_049852610.1	LOC126057168	mRNA	NIPA2
XM_049852611.1	LOC126057168	mRNA	NIPA2
XM_049852612.1	LOC126057168	mRNA	NIPA2
XM_049852613.1	LOC126057168	mRNA	NIPA2
XM_049852614.1	LOC126057170	mRNA	RAMAC
XM_049852615.1	LOC126057170	mRNA	RAMAC
XM_049852616.1	LOC126057170	mRNA	RAMAC
XM_049852617.1	LOC126057170	mRNA	RAMAC
XM_049852618.1	LOC126057171	mRNA	NDN
XM_049852619.1	LOC126057172	mRNA	MAGEL2
XM_049852620.1	LOC126057173	mRNA	CPLX3
XM_049852621.1	LOC126057177	mRNA	MRPL46
XM_049852622.1	LOC126057174	mRNA	LOC126057174
XM_049852623.1	LOC126057179	mRNA	LOC126057179
XM_049852624.1	LOC126057180	mRNA	ISLR
XM_049852625.1	LOC126057180	mRNA	ISLR
XM_049852626.1	LOC126057181	mRNA	SCAMP5
XM_049852627.1	LOC126057182	mRNA	UNC13C
XM_049852628.1	LOC126057183	mRNA	CCPG1
XM_049852629.1	LOC126057184	mRNA	PIGB
XM_049852630.1	LOC126057184	mRNA	PIGB
XM_049852631.1	LOC126057186	mRNA	RAB27A
XM_049852632.1	LOC126057186	mRNA	RAB27A
XM_049852633.1	LOC126057187	mRNA	PIGBOS1
XM_049852634.1	LOC126057187	mRNA	PIGBOS1
XM_049852635.1	LOC126057187	mRNA	PIGBOS1
XM_049852636.1	LOC126057188	mRNA	RSL24D1
XM_049852637.1	LOC126057189	mRNA	PIERCE2
XM_049852638.1	LOC126057190	mRNA	TMEM131L
XM_049852639.1	LOC126057190	mRNA	TMEM131L
XM_049852640.1	LOC126057190	mRNA	TMEM131L
XM_049852641.1	LOC126057191	mRNA	TLR2
XM_049852642.1	LOC126057191	mRNA	TLR2
XM_049852643.1	LOC126057191	mRNA	TLR2
XM_049852644.1	LOC126057193	mRNA	ZNF609
XM_049852645.1	LOC126057194	mRNA	OAZ2
XM_049852646.1	LOC126057197	mRNA	MAP2K5
XM_049852647.1	LOC126057197	mRNA	MAP2K5
XM_049852648.1	LOC126057197	mRNA	MAP2K5
XM_049852649.1	LOC126057197	mRNA	MAP2K5
XM_049852650.1	LOC126057197	mRNA	MAP2K5
XM_049852651.1	LOC126057198	mRNA	CHD2
XM_049852652.1	LOC126057198	mRNA	CHD2
XM_049852653.1	LOC126057200	mRNA	UBE3A
XM_049852654.1	LOC126057200	mRNA	UBE3A
XM_049852655.1	LOC126057200	mRNA	UBE3A
XM_049852656.1	LOC126057204	mRNA	SIN3A
XM_049852657.1	LOC126057204	mRNA	SIN3A
XM_049852658.1	LOC126057204	mRNA	SIN3A
XM_049852659.1	LOC126057205	mRNA	MAN2C1
XM_049852660.1	LOC126057205	mRNA	MAN2C1
XM_049852661.1	LOC126057205	mRNA	MAN2C1
XM_049852662.1	LOC126057206	mRNA	PTPN9
XM_049852663.1	LOC126057206	mRNA	PTPN9
XM_049852664.1	LOC126057208	mRNA	NEIL1
XM_049852665.1	LOC126057208	mRNA	NEIL1
XM_049852666.1	LOC126057208	mRNA	NEIL1
XM_049852667.1	LOC126057208	mRNA	NEIL1
XM_049852668.1	LOC126057208	mRNA	NEIL1
XM_049852669.1	LOC126057208	mRNA	NEIL1
XM_049852670.1	LOC126057208	mRNA	NEIL1
XM_049852671.1	LOC126057208	mRNA	NEIL1
XM_049852672.1	LOC126057208	mRNA	NEIL1
XM_049852673.1	LOC126057208	mRNA	NEIL1
XM_049852674.1	LOC126057209	mRNA	COMMD4
XM_049852675.1	LOC126057209	mRNA	COMMD4
XM_049852676.1	LOC126057214	mRNA	ARIH1
XM_049852677.1	LOC126057215	mRNA	BBS4
XM_049852678.1	LOC126057215	mRNA	BBS4
XM_049852679.1	LOC126057215	mRNA	BBS4
XM_049852680.1	LOC126057216	mRNA	ADPGK
XM_049852681.1	LOC126057216	mRNA	ADPGK
XM_049852682.1	LOC126057218	mRNA	TKTL2
XM_049852683.1	LOC126057219	mRNA	LOC126057219
XM_049852684.1	LOC126057222	mRNA	LOC126057222
XM_049852685.1	LOC126057224	mRNA	LOC126057224
XM_049852686.1	LOC126057225	mRNA	LOC126057225
XM_049852687.1	LOC126057226	mRNA	LOC126057226
XM_049852688.1	LOC126057229	mRNA	MARCHF1
XM_049852689.1	LOC126057230	mRNA	TMA16
XM_049852690.1	LOC126057230	mRNA	TMA16
XM_049852691.1	LOC126057233	mRNA	APELA
XM_049852692.1	LOC126057235	mRNA	FOXB1
XM_049852693.1	LOC126057236	mRNA	MYO9A
XM_049852694.1	LOC126057236	mRNA	MYO9A
XM_049852695.1	LOC126057236	mRNA	MYO9A
XM_049852696.1	LOC126057236	mRNA	MYO9A
XM_049852697.1	LOC126057236	mRNA	MYO9A
XM_049852698.1	LOC126057236	mRNA	MYO9A
XM_049852699.1	LOC126057236	mRNA	MYO9A
XM_049852700.1	LOC126057236	mRNA	MYO9A
XM_049852701.1	LOC126057236	mRNA	MYO9A
XM_049852702.1	LOC126057236	mRNA	MYO9A
XM_049852703.1	LOC126057236	mRNA	MYO9A
XM_049852704.1	LOC126057238	mRNA	SENP8
XM_049852705.1	LOC126057240	mRNA	PEAK1
XM_049852706.1	LOC126057240	mRNA	PEAK1
XM_049852707.1	LOC126057240	mRNA	PEAK1
XM_049852708.1	LOC126057241	mRNA	LOC126057241
XM_049852709.1	LOC126057241	mRNA	LOC126057241
XM_049852710.1	LOC126057241	mRNA	LOC126057241
XM_049852711.1	LOC126057241	mRNA	LOC126057241
XM_049852712.1	LOC126057241	mRNA	LOC126057241
XM_049852713.1	LOC126057241	mRNA	LOC126057241
XM_049852714.1	LOC126057241	mRNA	LOC126057241
XM_049852715.1	LOC126057241	mRNA	LOC126057241
XM_049852716.1	LOC126057241	mRNA	LOC126057241
XM_049852717.1	LOC126057241	mRNA	LOC126057241
XM_049852718.1	LOC126057241	mRNA	LOC126057241
XM_049852719.1	LOC126057241	mRNA	LOC126057241
XM_049852720.1	LOC126057241	mRNA	LOC126057241
XM_049852721.1	LOC126057241	mRNA	LOC126057241
XM_049852722.1	LOC126057241	mRNA	LOC126057241
XM_049852723.1	LOC126057243	mRNA	LOC126057243
XM_049852724.1	LOC126057248	mRNA	FHDC1
XM_049852725.1	LOC126057248	mRNA	FHDC1
XM_049852726.1	LOC126057248	mRNA	FHDC1
XM_049852727.1	LOC126057248	mRNA	FHDC1
XM_049852728.1	LOC126057248	mRNA	FHDC1
XM_049852729.1	LOC126057250	mRNA	FBXW7
XM_049852730.1	LOC126057250	mRNA	FBXW7
XM_049852731.1	LOC126057250	mRNA	FBXW7
XM_049852732.1	LOC126057250	mRNA	FBXW7
XM_049852733.1	LOC126057250	mRNA	FBXW7
XM_049852734.1	LOC126057250	mRNA	FBXW7
XM_049852735.1	LOC126057250	mRNA	FBXW7
XM_049852736.1	LOC126057250	mRNA	FBXW7
XM_049852737.1	LOC126057250	mRNA	FBXW7
XM_049852738.1	LOC126057250	mRNA	FBXW7
XM_049852739.1	LOC126057250	mRNA	FBXW7
XM_049852740.1	LOC126057250	mRNA	FBXW7
XM_049852741.1	LOC126057250	mRNA	FBXW7
XM_049852742.1	LOC126057250	mRNA	FBXW7
XM_049852743.1	LOC126057252	mRNA	TRIM2
XM_049852744.1	LOC126057252	mRNA	TRIM2
XM_049852745.1	LOC126057252	mRNA	TRIM2
XM_049852746.1	LOC126057252	mRNA	TRIM2
XM_049852747.1	LOC126057252	mRNA	TRIM2
XM_049852748.1	LOC126057252	mRNA	TRIM2
XM_049852749.1	LOC126057252	mRNA	TRIM2
XM_049852750.1	LOC126057252	mRNA	TRIM2
XM_049852751.1	LOC126057252	mRNA	TRIM2
XM_049852752.1	LOC126057252	mRNA	TRIM2
XM_049852753.1	LOC126057252	mRNA	TRIM2
XM_049852754.1	LOC126057252	mRNA	TRIM2
XM_049852755.1	LOC126057254	mRNA	TIGD4
XM_049852756.1	LOC126057254	mRNA	TIGD4
XM_049852757.1	LOC126057254	mRNA	TIGD4
XM_049852758.1	LOC126057254	mRNA	TIGD4
XM_049852759.1	LOC126057254	mRNA	TIGD4
XM_049852760.1	LOC126057255	mRNA	ARFIP1
XM_049852761.1	LOC126057255	mRNA	ARFIP1
XM_049852762.1	LOC126057255	mRNA	ARFIP1
XM_049852763.1	LOC126057256	mRNA	MND1
XM_049852764.1	LOC126057256	mRNA	MND1
XM_049852765.1	LOC126057257	mRNA	TMEM154
XM_049852766.1	LOC126057257	mRNA	TMEM154
XM_049852767.1	LOC126057257	mRNA	TMEM154
XM_049852768.1	LOC126057257	mRNA	TMEM154
XM_049852769.1	LOC126057257	mRNA	TMEM154
XM_049852770.1	LOC126057257	mRNA	TMEM154
XM_049852771.1	LOC126057257	mRNA	TMEM154
XM_049852772.1	LOC126057261	mRNA	RNF150
XM_049852773.1	LOC126057249	mRNA	LOC126057249
XM_049852774.1	LOC126057261	mRNA	RNF150
XM_049852775.1	LOC126057261	mRNA	RNF150
XM_049852776.1	LOC126057262	mRNA	PDE8A
XM_049852777.1	LOC126057262	mRNA	PDE8A
XM_049852778.1	LOC126057262	mRNA	PDE8A
XM_049852779.1	LOC126057264	mRNA	SMAD3
XM_049852780.1	LOC126057265	mRNA	SH3D19
XM_049852781.1	LOC126057265	mRNA	SH3D19
XM_049852782.1	LOC126057265	mRNA	SH3D19
XM_049852783.1	LOC126057265	mRNA	SH3D19
XM_049852784.1	LOC126057265	mRNA	SH3D19
XM_049852785.1	LOC126057265	mRNA	SH3D19
XM_049852786.1	LOC126057265	mRNA	SH3D19
XM_049852787.1	LOC126057265	mRNA	SH3D19
XM_049852788.1	LOC126057266	mRNA	NEO1
XM_049852789.1	LOC126057266	mRNA	NEO1
XM_049852790.1	LOC126057266	mRNA	NEO1
XM_049852791.1	LOC126057266	mRNA	NEO1
XM_049852792.1	LOC126057266	mRNA	NEO1
XM_049852793.1	LOC126057266	mRNA	NEO1
XM_049852794.1	LOC126057266	mRNA	NEO1
XM_049852795.1	LOC126057266	mRNA	NEO1
XM_049852796.1	LOC126057268	mRNA	PRSS48
XM_049852797.1	LOC126057272	mRNA	LOC126057272
XM_049852798.1	LOC126057280	mRNA	LOC126057280
XM_049852799.1	LOC126057284	mRNA	CEMIP
XM_049852800.1	LOC126057285	mRNA	ABHD17C
XM_049852801.1	LOC126057286	mRNA	LOC126057286
XM_049852802.1	LOC126057291	mRNA	LOC126057291
XM_049852803.1	LOC126057294	mRNA	LOC126057294
XM_049852804.1	C13H4orf45	mRNA	SPMIP2
XM_049852805.1	LOC126057306	mRNA	RXFP1
XM_049852806.1	LOC126057307	mRNA	ASIC5
XM_049852807.1	LOC126057314	mRNA	LOC126057314
XM_049852808.1	LOC126057317	mRNA	FGG
XM_049852809.1	LOC126057318	mRNA	MCTP2
XM_049852810.1	LOC126057318	mRNA	MCTP2
XM_049852811.1	LOC126057318	mRNA	MCTP2
XM_049852812.1	LOC126057318	mRNA	MCTP2
XM_049852813.1	LOC126057318	mRNA	MCTP2
XM_049852814.1	LOC126057249	mRNA	LOC126057249
XM_049852815.1	LOC126057318	mRNA	MCTP2
XM_049852816.1	LOC126057318	mRNA	MCTP2
XM_049852817.1	LOC126057318	mRNA	MCTP2
XM_049852818.1	LOC126057322	mRNA	RNF175
XM_049852819.1	LOC126057325	mRNA	LOC126057325
XM_049852820.1	LOC126057327	mRNA	LOC126057327
XM_049852821.1	LOC126057328	mRNA	LOC126057328
XM_049852822.1	C13H4orf51	mRNA	C13H4orf51
XM_049852823.1	LOC126057332	mRNA	FREM3
XM_049852824.1	LOC126057336	mRNA	FAN1
XM_049852825.1	LOC126057336	mRNA	FAN1
XM_049852826.1	LOC126057336	mRNA	FAN1
XM_049852827.1	LOC126057336	mRNA	FAN1
XM_049852828.1	LOC126057336	mRNA	FAN1
XM_049852829.1	LOC126057338	mRNA	MTMR10
XM_049852830.1	LOC126057338	mRNA	MTMR10
XM_049852831.1	LOC126057339	mRNA	ARNT2
XM_049852832.1	LOC126057339	mRNA	ARNT2
XM_049852833.1	LOC126057339	mRNA	ARNT2
XM_049852834.1	LOC126057340	mRNA	ADAMTS7
XM_049852835.1	LOC126057340	mRNA	ADAMTS7
XM_049852836.1	LOC126057341	mRNA	SCAPER
XM_049852837.1	LOC126057341	mRNA	SCAPER
XM_049852838.1	LOC126057341	mRNA	SCAPER
XM_049852839.1	LOC126057341	mRNA	SCAPER
XM_049852840.1	LOC126057341	mRNA	SCAPER
XM_049852841.1	LOC126057341	mRNA	SCAPER
XM_049852842.1	LOC126057341	mRNA	SCAPER
XM_049852843.1	LOC126057341	mRNA	SCAPER
XM_049852844.1	LOC126057341	mRNA	SCAPER
XM_049852845.1	LOC126057341	mRNA	SCAPER
XM_049852846.1	LOC126057341	mRNA	SCAPER
XM_049852847.1	LOC126057341	mRNA	SCAPER
XM_049852848.1	LOC126057341	mRNA	SCAPER
XM_049852849.1	LOC126057343	mRNA	IREB2
XM_049852850.1	LOC126057344	mRNA	ACSBG1
XM_049852851.1	LOC126057344	mRNA	ACSBG1
XM_049852852.1	LOC126057344	mRNA	ACSBG1
XM_049852853.1	LOC126057346	mRNA	TMEM266
XM_049852854.1	LOC126057346	mRNA	TMEM266
XM_049852855.1	LOC126057347	mRNA	CHRNB4
XM_049852856.1	LOC126057348	mRNA	DNAJA4
XM_049852857.1	LOC126057349	mRNA	SH2D7
XM_049852858.1	LOC126057350	mRNA	FBXO22
XM_049852859.1	LOC126057351	mRNA	HYKK
XM_049852860.1	LOC126057351	mRNA	HYKK
XM_049852861.1	LOC126057351	mRNA	HYKK
XM_049852862.1	LOC126057351	mRNA	HYKK
XM_049852863.1	LOC126057351	mRNA	HYKK
XM_049852864.1	LOC126057351	mRNA	HYKK
XM_049852865.1	LOC126057353	mRNA	UBE2Q2
XM_049852866.1	LOC126057353	mRNA	UBE2Q2
XM_049852867.1	LOC126057352	mRNA	LOC126057352
XM_049852868.1	LOC126057354	mRNA	ETFA
XM_049852869.1	LOC126057354	mRNA	ETFA
XM_049852870.1	LOC126057355	mRNA	IDH3A
XM_049852871.1	LOC126057356	mRNA	ISL2
XM_049852872.1	LOC126057357	mRNA	SKIC8
XM_049852873.1	LOC126057358	mRNA	PSMA4
XM_049852874.1	LOC126057359	mRNA	CHRNA3
XM_049852875.1	LOC126057360	mRNA	CIB2
XM_049852876.1	LOC126057360	mRNA	CIB2
XM_049852877.1	LOC126057362	mRNA	CRABP1
XM_049852878.1	LOC126057363	mRNA	NRG4
XM_049852879.1	LOC126057365	mRNA	PDGFC
XM_049852880.1	LOC126057249	mRNA	LOC126057249
XM_049852881.1	LOC126057368	mRNA	LOC126057368
XM_049852882.1	LOC126057384	mRNA	LOC126057384
XM_049852883.1	C1H3orf52	mRNA	C1H3orf52
XM_049852884.1	LOC126057432	mRNA	SLC9C1
XM_049852885.1	LOC126057448	mRNA	LOC126057448
XM_049852886.1	LOC126057249	mRNA	LOC126057249
XM_049852887.1	LOC126057495	mRNA	TEX55
XM_049852888.1	LOC126057511	mRNA	LOC126057511
XM_049852889.1	LOC126057543	mRNA	NR1I2
XM_049852890.1	LOC126057559	mRNA	ARGFX
XM_049852891.1	LOC126085925	mRNA	LPP
XM_049852892.1	LOC126057972	mRNA	LOC126057972
XM_049852893.1	LOC126057974	mRNA	LOC126057974
XM_049852894.1	LOC126057980	mRNA	STOML3
XM_049852895.1	LOC126057983	mRNA	LOC126057983
XM_049852896.1	LOC126057984	mRNA	DHRS12
XM_049852897.1	LOC126057985	mRNA	SERPINE3
XM_049852898.1	LOC126057987	mRNA	LOC126057987
XM_049852899.1	LOC126057989	mRNA	LOC126057989
XM_049852900.1	LOC126057990	mRNA	ERICH6B
XM_049852901.1	LOC126057991	mRNA	LOC126057991
XM_049852902.1	LOC126057994	mRNA	PCDH9
XM_049852903.1	LOC126057994	mRNA	PCDH9
XM_049852904.1	LOC126057994	mRNA	PCDH9
XM_049852905.1	LOC126057994	mRNA	PCDH9
XM_049852906.1	LOC126057994	mRNA	PCDH9
XM_049852907.1	LOC126057995	mRNA	KPNA3
XM_049852908.1	LOC126057996	mRNA	EBPL
XM_049852909.1	LOC126057997	mRNA	RNASEH2B
XM_049852910.1	LOC126057997	mRNA	RNASEH2B
XM_049852911.1	LOC126057997	mRNA	RNASEH2B
XM_049852912.1	LOC126057997	mRNA	RNASEH2B
XM_049852913.1	LOC126057999	mRNA	GPC5
XM_049852914.1	LOC126058000	mRNA	GPC6
XM_049852915.1	LOC126058005	mRNA	RBM26
XM_049852916.1	LOC126058005	mRNA	RBM26
XM_049852917.1	LOC126058005	mRNA	RBM26
XM_049852918.1	LOC126058005	mRNA	RBM26
XM_049852919.1	LOC126058005	mRNA	RBM26
XM_049852920.1	LOC126058005	mRNA	RBM26
XM_049852921.1	LOC126058005	mRNA	RBM26
XM_049852922.1	LOC126058005	mRNA	RBM26
XM_049852923.1	LOC126058005	mRNA	RBM26
XM_049852924.1	LOC126058005	mRNA	RBM26
XM_049852925.1	LOC126058005	mRNA	RBM26
XM_049852926.1	LOC126058007	mRNA	TSC22D1
XM_049852927.1	LOC126058007	mRNA	TSC22D1
XM_049852928.1	LOC126058007	mRNA	TSC22D1
XM_049852929.1	LOC126058007	mRNA	TSC22D1
XM_049852930.1	LOC126058007	mRNA	TSC22D1
XM_049852931.1	LOC126058007	mRNA	TSC22D1
XM_049852932.1	LOC126058007	mRNA	TSC22D1
XM_049852933.1	LOC126058007	mRNA	TSC22D1
XM_049852934.1	LOC126058007	mRNA	TSC22D1
XM_049852935.1	LOC126058007	mRNA	TSC22D1
XM_049852936.1	LOC126058009	mRNA	ENOX1
XM_049852937.1	LOC126058009	mRNA	ENOX1
XM_049852938.1	LOC126058009	mRNA	ENOX1
XM_049852939.1	LOC126058009	mRNA	ENOX1
XM_049852940.1	LOC126058009	mRNA	ENOX1
XM_049852941.1	LOC126058009	mRNA	ENOX1
XM_049852942.1	LOC126058011	mRNA	LACC1
XM_049852943.1	LOC126058011	mRNA	LACC1
XM_049852944.1	LOC126058011	mRNA	LACC1
XM_049852945.1	LOC126058012	mRNA	CCDC122
XM_049852946.1	LOC126058012	mRNA	CCDC122
XM_049852947.1	LOC126058012	mRNA	CCDC122
XM_049852948.1	LOC126058012	mRNA	CCDC122
XM_049852949.1	LOC126058012	mRNA	CCDC122
XM_049852950.1	LOC126058012	mRNA	CCDC122
XM_049852951.1	LOC126058012	mRNA	CCDC122
XM_049852952.1	LOC126058012	mRNA	CCDC122
XM_049852953.1	LOC126058012	mRNA	CCDC122
XM_049852954.1	LOC126058012	mRNA	CCDC122
XM_049852955.1	LOC126058014	mRNA	EPSTI1
XM_049852956.1	LOC126058015	mRNA	DNAJC15
XM_049852957.1	LOC126058016	mRNA	SERP2
XM_049852958.1	LOC126058019	mRNA	NAA16
XM_049852959.1	LOC126058019	mRNA	NAA16
XM_049852960.1	LOC126058019	mRNA	NAA16
XM_049852961.1	LOC126058019	mRNA	NAA16
XM_049852962.1	LOC126058019	mRNA	NAA16
XM_049852963.1	LOC126058020	mRNA	COG3
XM_049852964.1	LOC126058020	mRNA	COG3
XM_049852965.1	LOC126058020	mRNA	COG3
XM_049852966.1	LOC126058023	mRNA	LOC126058023
XM_049852967.1	LOC126058024	mRNA	PCDH17
XM_049852968.1	LOC126058024	mRNA	PCDH17
XM_049852969.1	LOC126058024	mRNA	PCDH17
XM_049852970.1	LOC126058024	mRNA	PCDH17
XM_049852971.1	LOC126058025	mRNA	AKAP11
XM_049852972.1	LOC126058025	mRNA	AKAP11
XM_049852973.1	LOC126058025	mRNA	AKAP11
XM_049852974.1	LOC126058025	mRNA	AKAP11
XM_049852975.1	LOC126058025	mRNA	AKAP11
XM_049852976.1	LOC126058025	mRNA	AKAP11
XM_049852977.1	LOC126058027	mRNA	LOC126058027
XM_049852978.1	LOC126058027	mRNA	LOC126058027
XM_049852979.1	LOC126058027	mRNA	LOC126058027
XM_049852980.1	LOC126058027	mRNA	LOC126058027
XM_049852981.1	LOC126058029	mRNA	CYSLTR2
XM_049852982.1	LOC126058029	mRNA	CYSLTR2
XM_049852983.1	LOC126058029	mRNA	CYSLTR2
XM_049852984.1	LOC126058029	mRNA	CYSLTR2
XM_049852985.1	LOC126058031	mRNA	LMO7
XM_049852986.1	LOC126058031	mRNA	LMO7
XM_049852987.1	LOC126058031	mRNA	LMO7
XM_049852988.1	LOC126058031	mRNA	LMO7
XM_049852989.1	LOC126058031	mRNA	LMO7
XM_049852990.1	LOC126058031	mRNA	LMO7
XM_049852991.1	LOC126058031	mRNA	LMO7
XM_049852992.1	LOC126058031	mRNA	LMO7
XM_049852993.1	LOC126058031	mRNA	LMO7
XM_049852994.1	LOC126058031	mRNA	LMO7
XM_049852995.1	LOC126058034	mRNA	TBC1D4
XM_049852996.1	LOC126058034	mRNA	TBC1D4
XM_049852997.1	LOC126058034	mRNA	TBC1D4
XM_049852998.1	LOC126058034	mRNA	TBC1D4
XM_049852999.1	LOC126058034	mRNA	TBC1D4
XM_049853000.1	LOC126058034	mRNA	TBC1D4
XM_049853001.1	LOC126058036	mRNA	UCHL3
XM_049853002.1	LOC126058036	mRNA	UCHL3
XM_049853003.1	LOC126058037	mRNA	COMMD6
XM_049853004.1	LOC126058038	mRNA	FNDC3A
XM_049853005.1	LOC126058038	mRNA	FNDC3A
XM_049853006.1	LOC126058038	mRNA	FNDC3A
XM_049853007.1	LOC126058038	mRNA	FNDC3A
XM_049853008.1	LOC126058040	mRNA	SETDB2
XM_049853009.1	LOC126058040	mRNA	SETDB2
XM_049853010.1	LOC126058040	mRNA	SETDB2
